"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BakerSahn: So why all these NBA players trying to make music now...",FALSE,0,NA,2017-10-10 14:03:39,FALSE,NA,"917752491583987712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","llghtnfree",1,TRUE,FALSE,NA,NA
"2","You’ve been <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> for this guy, Max. We can go on walks, learn new tricks, and kisses. https://t.co/8T2DasM1YW… https://t.co/n4Px9cGx86",FALSE,0,NA,2017-10-10 14:00:23,TRUE,NA,"917751668732817408",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","HOUPetsAlive",0,FALSE,FALSE,NA,NA
"3","So why all these NBA players trying to make music now...",FALSE,0,NA,2017-10-10 13:45:39,FALSE,NA,"917747961827921920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BakerSahn",1,FALSE,FALSE,NA,NA
"4","RT @A_A_Ron_Rodgers: Christopher Columbus:
- Can't navigate properly
- Enslaved ppl

JR Smith:
- NBA champ
- Henny God
- Hall of fame diffi…",FALSE,0,NA,2017-10-10 13:40:50,FALSE,NA,"917746749913124864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SwankyKindaGuy",6,TRUE,FALSE,NA,NA
"5","Most #NFL players aren’t rich forever unless they are able to flip their money. It’s time they sit out like the #NBA did.",FALSE,1,NA,2017-10-10 13:18:00,FALSE,NA,"917741003418816512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DJYABOYEARL",0,FALSE,FALSE,NA,NA
"6","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 13:12:11,FALSE,NA,"917739539170562050",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","9248SR4",91,TRUE,FALSE,NA,NA
"7","RT @HoustonRockets: Morning shootaround in NYC! <ed><U+00A0><U+00BD><ed><U+00B7><U+00BD>

<ed><U+00A0><U+00BD><ed><U+00B2><U+00BB>Watch tonight's game via Live Stream on https://t.co/VBY18fapLu or our Facebook page ht…",FALSE,0,NA,2017-10-10 13:06:15,FALSE,NA,"917738045390114816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jaquelynwessels",52,TRUE,FALSE,NA,NA
"8","So they saying Trump wouldn't attack the NBA",FALSE,0,NA,2017-10-10 12:54:59,FALSE,NA,"917735209851908097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angie_goodwood",0,FALSE,FALSE,NA,NA
"9","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 12:52:19,FALSE,NA,"917734538775842816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_gwafa",91,TRUE,FALSE,NA,NA
"10","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 12:39:49,FALSE,NA,"917731393924452352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gabs_Frt",91,TRUE,FALSE,NA,NA
